dataset/Cou001_The same as you..wav|同じで
dataset/Lda006_Am I okay being me?.wav|私は私でいいんだよね
dataset/Lda003_I tried to look into difficult words that Touko used like "psychoanalysis," "counseling," and so on..wav|トウコさんがちょっと話していた精神分析とかカウンセリングとかいろいろ難しい言葉を調べようかなと思ったけど
dataset/Lda007_Even so, I’m not able to believe that now..wav|たとえそうだとしても、今の私には信じられない。
dataset/Lda007_When will I be able to understand all of this?.wav|いつか自然に理解できるようになる?
dataset/Lda008_I won’t ask her after all..wav|やっぱりやめとこう
dataset/Lda007_Tomo-kun is a boy, so I was a bit uncomfortable with him joining the others..wav|友君も男子だからきっと一緒に騒いでいたと思うと、ちょっと嫌な気持ちになった。
dataset/Lda008_But maybe she’ll think that it’s strange..wav|でも変態みたいな目で見られたらどうしよう
dataset/Lda008_I’ll ask Touko-san about it..wav|トウコさんに聞いてみよう
dataset/Lda007_Kyoko-chan was grinning and talking to me, and the boys were having fun..wav|京子ちゃんとかにやにやして私に話しかけてくるし、男子たちははしゃいでいた。
dataset/Lda008_That’s right..wav|そうだ
dataset/Lda009_Dad’s been getting home very early lately..wav|お父さんはこの頃妙に帰りが早い
dataset/Lda009_He’s been asking a lot about school, and I’m getting a bit tired of that..wav|学校のこととか色々聞かれるから、ちょっとお父さんが嫌いになった。
dataset/Lda009_This is sad..wav|なんか惨め
dataset/Lda008_She’s a doctor, so I wonder if she’ll be embarrassed..wav|先生ならお医者さんだし恥ずかしくないかな
dataset/Lda009_I wonder if she’s being nice because I’m becoming strange..wav|私が変になったから気を使ってくれてるのかな?
dataset/Lda010_Maybe I’m cured..wav|ひょっとしたら私治ったの?
dataset/Lda010_These days, I haven’t been seeing them at all..wav|このところ何も見えなくなった
dataset/Lda010_That would make me so happy..wav|そうならすごく嬉しい
dataset/Lda011_I don’t want to keep a diary anymore..wav|もう日記なんてつけたくない
dataset/Lda010_I wonder if Dad and Mom and Touko-san will be happy, too..wav|お父さんもお母さんもトウコさんも喜んでくれるかなぁ
dataset/Lda011_Why does that me keep drifting into my mind..wav|なんであんな自分が思い浮かぶんだろう
dataset/Lda012_I want to become normal..wav|普通になりたい
dataset/Lda007_Today in physical education class, the kids were talking about some sexual stuff..wav|今日保健体育の授業でちょっとエッチな話で話す
dataset/Lda011_The only special thing that happened today was ‘that.’ I don’t want to see it anymore..wav|今日起こったことなんて 特別なことなんて あれだけだし もう見たくない
dataset/Lda012_I want to stop seeing these kinds of dreams..wav|こんな夢を見なくなりたい
dataset/Lda012_Even after all these months, I can’t get used to it..wav|もう何ヶ月も経つけど、きっとまたって思っても きっともうなれない
dataset/Lda013_He told me to use it to take classes online when I stay home from school..wav|学校を休むときはこれで通信教育を受けなさいだって
dataset/Lda013_That’s sad..wav|なんか寂しい
dataset/Lda013_Dad bought me a computer today..wav|今日、お父さんがコンピューターを買ってきてくれた。
dataset/Lda013_I’ve been doing my homework..wav|レインはちゃんと勉強してるのに
dataset/Lda014_But maybe that’s just my imagination..wav|私の気のせい?
dataset/Lda013_I would have to do online classes all alone..wav|通信教育って独りぼっちな気がして
dataset/Lda014_Could it be that they don’t like me anymore?.wav|私嫌われちゃった?
dataset/Lda013_I’ve been taking my tests..wav|テストだってちゃんと受けてるのに
dataset/Lda014_Kyoko-chan seems happier when she isn’t around me..wav|京子ちゃんは私といる時よりも楽しそうだもの
dataset/Lda014_I don’t like people getting mad at me..wav|怒られるのも嫌
dataset/Lda015_I have a cold and am taking a day off school..wav|風邪で熱が出て今日も休み
dataset/Lda014_She goes shopping with Mayu-chan..wav|でも買い物とかもまゆちゃんとかと言ってるみたいだし
dataset/Lda014_Lately, Kyoko-chan hasn’t been talking to me..wav|この頃、キョウコちゃんもあんまり口をきいてくれない。
dataset/Lda009_Mom hasn’t been complaining as much lately..wav|お母さんはこの頃あんまり文句を言わなくなった気がする
dataset/Lda015_I’ve stayed home for 3 days now..wav|もう3日も休んでいる
dataset/Lda014_I don’t want to go to school anymore..wav|もう学校に行きたくない
dataset/Lda015_None of them visit me..wav|だから誰も来ないし
dataset/Lda015_They don’t like me..wav|私嫌われているもの
dataset/Lda016_I wasn’t disliked..wav|嫌われてないんだ
dataset/Lda015_The kids at school probably think I’m just cutting school..wav|きっと学校のみんな、またズルしてるって思ってる
dataset/Lda016_I wonder if that will make them happy..wav|でも喜んでくれるかな?
dataset/Lda016_They were worried about me..wav|心配してくれてるんだ
dataset/Lda016_Kyoko-chan and Mayu-chan came to visit me at home..wav|キョウコちゃんやマユちゃんがお見舞いに来てくれた
dataset/Lda016_I hope I get over this cold soon so I can go to school..wav|早く風邪を治して学校に行きたい
dataset/Lda016_I’m so glad..wav|よかった
dataset/Lda014_But I’ll get scolded for that..wav|でも
dataset/Lda017_I don’t want to go see the doctor again..wav|またお医者さんに行くのやだな
dataset/Lda016_I’m so happy..wav|うれしい
dataset/Lda017_I want to go to school but can’t..wav|学校に行きたいのに行けない
dataset/Lda016_I want to take Kyoko-chan and Mayu-chan out for a treat because they took notes for me at school..wav|ノートのお礼に、キョウコちゃんとマイちゃんをケーキ食べに誘いたい。
dataset/Lda017_The human body is so inconvenient..wav|不便な体?
dataset/Lda018_I sort of have her all to myself..wav|なんだかお母さんを独り占めしている気分
dataset/Lda018_I’m sorry to have worried you..wav|心配させてごめんなさい
dataset/Lda018_Thank you, Mom..wav|ありがとう、母さん。
dataset/Lda017_Is this just a cold?.wav|本当にただの風なのかな
dataset/Lda018_I was especially happy today when Mom got me some snacks that I asked for..wav|おやつもリクエストしたりして、今日は特別優しかった。
dataset/Lda018_Mom has been looking after me all day..wav|お母さんが月切りで看病してくれて嬉しい
dataset/Lda017_It’s been a whole week..wav|もう一週間になるのに
dataset/Lda019_Does Tomo-kun really like me?.wav|トモ君は私のこと気にしてくれたのかな?
dataset/Lda019_I couldn’t talk to him at all..wav|それで全然話せなかったんだ
dataset/Lda019_I couldn’t even say "good-bye." I hate this..wav|私、ちゃんとお別れの挨拶もできなかった 私って嫌
dataset/Lda019_I doubt it..wav|でもきっと違う
dataset/Lda019_I was surprised at first to hear that Tomo-kun and my sensei came to visit me at home..wav|はじめは、ともくんと先生がお見舞いに来たって聞いてびっくりした。
dataset/Lda017_I’ve been taking my medicine..wav|ちゃんと薬も飲んでじっとしているのに
dataset/Lda019_I didn’t even see them..wav|ちっとも顔も見られなかった
dataset/Lda019_I’m a little glad and a little sad and want to cry..wav|でも最後に握手できてちょっと嬉しくって悲しくって 涙こぼれそうになって
dataset/Lda019_Sensei probably told him to come..wav|先生に言われて仕方なく来たんだ。
dataset/Lda017_I’m sweating and I’ll have to change clothes again..wav|熱が出て汗だく また着替えなきゃ
dataset/Lda019_Why?.wav|なんで?
dataset/Lda019_Tomo-kun is moving to another school..wav|友くんが転校しちゃう
dataset/Lda019_I was so embarrassed because I was still in my pajamas..wav|パジャマですごく恥ずかしくって
dataset/Lda017_My cold hasn’t gotten better..wav|風が治らない
dataset/Lda019_It might have been the last time I see Tomo-kun..wav|最後になるかもしれないのに
dataset/Lda020_He’s such a good Dad..wav|本当に優しいお父さん
dataset/Lda020_I think he might have been a bit rude to watch videos during breakfast, though..wav|でも食事中にビデオを回すのはマナーが悪いと思う。
dataset/Lda020_I wonder what that is about..wav|いいのと同じかな?
dataset/Lda020_I cooked and did the laundry for Mom as a thanks for her taking care of me while I was sick..wav|看病してくれたお礼でお母さんの代わりに私がご飯と洗濯
dataset/Lda020_Mom’s brassiere is big, too..wav|お母さんのブラジャーが大きい
dataset/Lda020_My food wasn’t so good, though..wav|ご飯はちょっと失敗しちゃったけど
dataset/Lda020_I wonder why Dad’s shorts are so large..wav|それにしてもお父さんのパンツってなんであんなに大きいんだろう
dataset/Lda020_They’re the size of my shirt..wav|私のシャツと同じ大きさ
dataset/Lda020_I wonder if I did the laundry okay. Dad ate my fried eggs even though I burnt hem..wav|洗濯はちゃんとできたかな? お父さんが焦げた卵焼きを無理して食べてくれて、
dataset/Lda021_I want to ask someone, but I’m embarrassed..wav|誰かに聞いてみたいけど、やっぱり恥ずかしい。
dataset/Lda020_Today is a Sunday..wav|今日は日曜日
dataset/Lda021_I wonder why..wav|何のため?
dataset/Lda022_I shouldn’t have worried..wav|心配して損した
dataset/Lda022_I’m back to school after a long time..wav|久しぶりの学校
dataset/Lda021_I’ve heard that men like woman who have large breasts..wav|男の人って胸が大きい人が好きなんだって聞いたことあるけど
dataset/Lda022_I’m glad that things are still the same..wav|でも普通でよかった
dataset/Lda022_I thanked Kyoko-chan for letting me read her notes..wav|ノートを貸してくれたお礼を 京子ちゃんに言った。
dataset/Lda023_Her sketches of Kamiya Sensei resemble the teacher so much that I started to laugh..wav|神谷先生の似顔絵がそっくりで笑っちゃった
dataset/Lda022_Kyoko-chan’s notes were full of goofy doodles, which was kind of fun..wav|でも、京子ちゃんのノートっていたずら書きがいっぱいで、ちょっと楽しい。
dataset/Lda024_I used to watch him, more than he watched me..wav|今までは私が見てるだけだったんだもの
dataset/Lda023_Mom seems to be a different person from a week ago..wav|先週とはまるで別人
dataset/Lda023_When I showed the sketches to Mom, she told me to stop goofing off and to do the homework I have to catch up on..wav|お母さんに見せたら、バカなことしてないでちゃんと遅れた分勉強しなさい、だって。
dataset/Lda022_I wonder if anyone was worried because I was gone..wav|意外と誰も気にしてないのかな?
dataset/Lda023_Compared to my notes, Kyoko-chan’s look like a box full of toys..wav|私のノートと比べるとまるでおもちゃ箱みたい
dataset/Lda024_He just wrote to say that he’s doing well..wav|元気ですって一言しか書いてなかったけど
dataset/Lda024_I’ll have to get some stationery supplies to write him..wav|新しい便箋、明日買ってこよ
dataset/Lda024_I’ll have to write him back..wav|返事を書かなくっちゃ
dataset/Lda024_Tomo-kun wrote me a letter..wav|友くんから手紙が来た
dataset/Lda024_I’m so happy to have a letter from him!.wav|友くんから手紙が来るだけでこんなに嬉しいなんて
dataset/Lda024_I’m so happy..wav|嬉しい
dataset/Lda026_It’s been a long time since we’ve gone to fool around in the city together..wav|二人で街に行くのも久しぶり
dataset/Lda024_I’m glad that I’m at least receiving letters, even though I can’t see the person who is writing me..wav|手紙が増えただけで私は嬉しい。 随分遠くに行っちゃって顔も見られないけど。
dataset/Lda026_Going out right after school is a no-no, but everybody else does it..wav|峠港の買い物は本当はダメなんだけど、みんなやってることだし。
dataset/Lda025_But... Tomo-kun had to have written everyone in class. He couldn’t have written only me..wav|でも、トモ君はきっとクラスのみんなに書いたんだよね。 私だけ特別なんて、そんなことあるわけがない。
dataset/Lda027_Dear God, please let me and Kyoko-chan be friends again..wav|神様 どうか京子ちゃんと仲直りできますように
dataset/Lda026_I’d better buy Mom and Dad something while I’m out..wav|お土産でお父さんとお母さんの分も買ってこなくちゃね
dataset/Lda027_Kyoko-chan doesn’t like me anymore?.wav|キョウコちゃんに嫌われちゃった?
dataset/Lda027_I get a little bit happy when I think that I might be special..wav|私だけが特別だったら、なんて考えるとほんの少し嬉しい。
dataset/Lda027_Thank you, Tomo-kun..wav|ともくん、ありがとう。
dataset/Lda026_Oh, I’ll have to ask Mom for some money..wav|そうだ、お母さんにお小遣いもらわなくちゃ
dataset/Lda027_Kyoko-chan must be angry..wav|多分、京子ちゃん怒ってた
dataset/Lda027_What should I do?.wav|どうしたらいいんだろう
dataset/Lda027_I got careless and forgot to buy the stationery I needed to write Tomo-kun..wav|私、慌てちゃって瓶銭買うの忘れちゃった
dataset/Lda027_Was I the only girl that received a letter full of doodles from Tomo-kun?.wav|友君からの葉書き来てない? 女子でもらったのって私だけ?
dataset/Lda027_Why!.wav|そんな…
dataset/Lda028_It’s too late..wav|ダメ
dataset/Lda028_Even when I apologized, she said, "why do I have to apologize to you?" She doesn’t like me..wav|謝っても、なんであんたに謝られなきゃいけないの?って言ってたし。 もう、私のこと嫌いになったんだ。
dataset/Lda028_I thought that she would go to the laboratory class with me, but she went off with Mayu-chan..wav|実験室に行く時一緒に行こうと思ったら まゆちゃん達と出て行っちゃった
dataset/Lda028_She doesn’t like me..wav|もう嫌われちゃった
dataset/Lda028_She really doesn’t like me..wav|本当に嫌われちゃった
dataset/Lda028_It wouldn’t have been like this if I had kept my mouth closed..wav|あんなこと言わないでいれば、こんなことにはなんなかったのに。
dataset/Lda030_Touko-san is a big jerk..wav|トウコさんのバカ
dataset/Lda029_I have nothing to write in my diary today..wav|今日も日記につけるようなことはない
dataset/Lda026_Why can’t I, every great now-and-then?.wav|私がたまにしても
dataset/Lda031_I don’t need a diary..wav|私には日記なんか必要ない
dataset/Lda031_I don’t have anything to write..wav|書くようなことなんてないんだから
dataset/Lda026_Tomorrow, I’ll buy Kyoko-chan a slice of cake to thank her for taking notes for me while I was away from school..wav|明日は京子ちゃんにノートのお礼にケーキを 学校の帰りにごちそう
dataset/Lda031_Nothing will return to the way it used to be..wav|絶対元に戻らないよ
dataset/Lda031_I just go to school everyday as usual..wav|休み時間も給食も一人だし
dataset/Lda031_Nothing has changed..wav|毎日同じように学校に行ってるだけだもん
dataset/Lda031_I’m disliked..wav|だって、もう嫌われちゃったんだもん
dataset/Lda031_I’m alone during recess and lunchtime, and no one talks to me..wav|誰も話しかけてくれないし
dataset/Lda032_As usual, Kyoko-chan won’t say anything to me..wav|キョウコちゃんは相変わらず口を聞いてくれない?
dataset/Lda031_Touko-san said to keep writing in my diary..wav|日記も書き続けなさいなんて
dataset/Lda032_How mean..wav|ひどい
dataset/Lda032_I didn’t do that..wav|私、そんなことしてない。
dataset/Lda032_I felt like everyone was mocking me..wav|みんな二手に出してた気がする
dataset/Lda032_I’ve never gone out with Tomo-kun..wav|友君と付き合ったことなんてないのに
dataset/Lda028_Kyoko-chan must be angry..wav|キョウコちゃんがやっぱり怒っている
dataset/Lda032_I don’t want to go to school anymore..wav|もう学校なんか行きたくない
dataset/Lda033_I want to disappear..wav|私なんか消えちゃえ
dataset/Lda033_Am I a bad kid?.wav|私は悪い子?
dataset/Lda032_Writing graffiti on my desk..wav|机に落書きなんて…
dataset/Lda033_Kamiya sensei came to my house and talked with my Mom..wav|神谷先生が家に来て、お母さんと話していた。
dataset/Lda033_Mom and Dad were talking about it after dinner..wav|お父さんとお母さんが夕ご飯の後で話していた
dataset/Lda033_Mom was crying and Dad looked very distressed..wav|お母さんは泣いてしまって、お父さんは困っていた。
dataset/Lda034_I wonder if I can go to the school Tomo-kun goes to..wav|桃君のいる学校に転校できないかな?
dataset/Lda033_Mom looked frustrated..wav|母さんは困った顔をしていた。
dataset/Lda034_He’s a kind Dad..wav|優しいお父さん
dataset/Lda034_I wonder if I’ll make friends if I went to a different school..wav|転校したらまた友達できるかな?
dataset/Lda033_Kamiya sensei said that if I skip class any more, I wouldn’t be able to graduate..wav|これ以上欠席すると卒業できないんだって
dataset/Lda034_Today Dad skipped work and talked with me all day..wav|今日お父さんが会社を休んで一日中私とお話ししてくれた
dataset/Lda034_I wonder if school will be fun somewhere else..wav|学校楽しくなるかな
dataset/Lda035_If I go to junior high school, I won’t cause trouble anymore..wav|中学に行ったら、もう迷惑かけないようにするからね。
dataset/Lda035_I’m sorry, Mom..wav|ごめんなさい、お母さん
dataset/Lda035_It seems that I can go to junior high school..wav|中学には行けるらしい
dataset/Lda035_My teacher visited our house again today..wav|また先生が来た
dataset/Lda035_Mom bowed to the teacher many times..wav|母さんは先生に何度もお授業していた。
dataset/Lda036_Is he letting me graduate because he doesn’t want to see me?.wav|面倒だから卒業させて
dataset/Lda036_To get rid of me?.wav|追い払いたいんだ
dataset/Lda038_But when I go to junior high, I’ll make real friends..wav|でも中学に行ったら本当の友達を作るの
dataset/Lda036_I’m never going to that school again..wav|でも、もう二度と行かないから
dataset/Lda038_I named it Lain..wav|でんて
dataset/Lda038_My only friend..wav|たった一人の友達
dataset/Lda031_I can’t believe what Touko-san said..wav|トウコさんが言ってた話なんて信じられない
dataset/Lda038_I named a special gift Dad got for me today..wav|お父さんに買ってもらったナビに名前をつけた
dataset/Lda037_Is there a meaning to why I’m here? Does someone need me?.wav|私ってここにいる意味あるの? 誰か私を必要としてくれてる?
dataset/Lda036_When I went to school today, Kamiya-sensei said that I would graduate, and that I don’t have to force myself to come to school..wav|今日学校に行ったら神谷先生から卒業が決まったから無理して学校に来なくてもいいって言われた
dataset/Lda039_Dad was reading lots of books about computers while we did it..wav|二人で5時間くらいかかって繋がった時に
dataset/Lda038_If I appear at ease and lighthearted, won’t other kids like me?.wav|はじめが感じ? 明るくすれば 嫌われないかな?
dataset/Lda039_He went through a lot of elaborate steps to set up my computer..wav|色々難しい設定をやってくれて繋がるようになった
dataset/Lda039_I talked to Dad about computer connections..wav|パソコン通信の話をお父さんにしたら
dataset/Lda036_Does he not want me to be at school?.wav|私が来るといいや
dataset/Lda039_It seems like since I stopped going to school, Mom and Dad haven’t been as happy as they used to be..wav|私が学校に行かなくなったりして、それからお父さんもお母さんも楽しくなくなっちゃったんだよね。
dataset/Lda039_Once we were done, Dad called Mom, and the three of us were delighted..wav|お父さんたらお母さんまで呼んで大喜び
dataset/Lda039_We worked hard for about 5 hours setting it up..wav|お父さんもいろんな本を読みながら
dataset/Lda039_I don’t think we felt so good together as a family in a long time..wav|家族3人でこんなに喜んだことってしばらくなかったんだって気づいた。
dataset/Lda040_Computer networks are amazing..wav|ネットワークって不思議
dataset/Lda039_I’m sorry..wav|ごめんなさい
dataset/Lda040_I feel like I’m becoming a different me..wav|なんだか違う自分になれそう
dataset/Lda041_But for me, having my eyesight deteriorate would be a good thing..wav|でも目なんて悪くなっても私にはいいことだもの
dataset/Lda040_No one can see my face from there, and I don’t feel embarrassed..wav|ここなら顔も見せなくできるし恥ずかしくない
dataset/Lda041_I surfed the net all day again today..wav|今日も一日中ネットで遊んだ
dataset/Lda040_I’m so happy that people could be so kind to me..wav|私がこんなに親切にしてもらえるなんて 嬉しくて仕方がない
dataset/Lda041_I’m surprised at what an easy-going person I can be on the net..wav|ネットの自分は驚くほど素直になれる
dataset/Lda041_If something interesting happens, I get e-mails telling me about it right away..wav|面白いことがあるとすぐメールで教えてくれるし
dataset/Lda041_Everybody is friendly..wav|みんな仲良し
dataset/Lda041_My eyes hurt after I stare at the monitor all day long..wav|一日中モニターを見ていると目が痛い
dataset/Lda040_There are so many people online, and they’re kind to me even though I’m just someone with a lot of problems..wav|いろんな人がいて、私なんかトラブルだらけで困っていると、親切な人がいっぱいいて。
dataset/Lda041_No one can bully me here..wav|ここなら誰にもいじめられない
dataset/Lda041_My name on the net is "Lain," but it seems that they can’t tell from that that I’m a girl..wav|私のハンドルはレイ。そのままだけど女の子ってわからないみたい。
dataset/Lda042_If you have some skills, you will not have troubles in the future..wav|手に触があればきっと困らないもの
dataset/Lda042_I have time now anyway, so I think I’ll study..wav|どうせ今の私には時間もあるから ちょっと勉強しようかな
dataset/Lda042_Mom and Dad won’t be there to protect me forever..wav|いつまでもお父さんやお母さんに守ってもらえないんだ
dataset/Lda042_I can study when I’m online, but if I’m online all the time, I might not be able to receive phone calls..wav|オンラインで勉強してもいいけど、ずっと繋ぎっぱなしだと、もしかして誰かが電話くれても、電話が繋がらないかもしれないし。
dataset/Lda042_Programs seemed difficult at first, but some of them got easier after I studied them..wav|プログラムなんて聞いたら、なんか難しそうだったけど、調べてみたら簡単そうなのもあるし。
dataset/Lda044_I guess they know who I am now and don’t like me..wav|私の居場所が怪我されたようで
dataset/Lda044_I don’t like games like that..wav|私はこんなの好きじゃない
dataset/Lda044_But if I start making lots of money, the other players will have a grudge against me..wav|でもあんまり調子に乗ってお金を貯めると恨まれる
dataset/Lda043_Maybe Kyoko-chan is worried about me. Well...probably not..wav|もしかして、キョウコちゃん心配してくれてるかも そんなことないか
dataset/Lda042_I’ll borrow a book from the library tomorrow..wav|明日図書館に行って本を借りてこよう
dataset/Lda044_I started a game on the net..wav|ネットでゲームを拾ってきた
dataset/Lda044_It isn’t for me..wav|私には似合わないの?
dataset/Lda044_At first I thought this was just a game, but it made me feel bad after a while, and I wanted to cry..wav|はじめはゲームだなんと思っていたけど、そのうち怖いっていうより気分が悪くなって泣きたくなった。
dataset/Lda044_I’m sad..wav|なんだか寂しい
dataset/Lda044_I’d rather play a game that everyone can laugh with and enjoy together..wav|みんなが幸せに笑えて楽しめるものがいい
dataset/Lda045_I won’t worry Mom anymore..wav|もうお母さんを悩ませたりしない
dataset/Lda045_I promise..wav|約束する
dataset/Lda044_It’s called the "Mouse Game". You sell tickets to your friends and make money..wav|友達ネズミ子ゲームって言って友達にチケットを売ってお金を貯めていくゲーム
dataset/Lda045_It was a graduation ceremony, but I didn't want to go..wav|卒業式だったけど、やっぱり行きたくなかった。
dataset/Lda044_There will be people who want to kill me then, so I have to be careful..wav|それで私を殺そうとする人が出てくるから、その人を恨む人を煽動するの。
dataset/Lda045_Once I’m in junior high, I’ll go for sure..wav|中学に入ったらちゃんと行く。絶対に。
dataset/Lda045_You took my clothes to the dry cleaners, didn’t you, Mom?.wav|私の服、クリーニングに出してくれたんだね。 ありがとう、母さん。
dataset/Lda047_I think I’ll ask Dad about some of this stuff..wav|お父さんに今度聞いてみようかな
dataset/Lda047_I haven’t been going to school, though..wav|って言っても私はこれまでもお休みだったけど
dataset/Lda044_There was a questionnaire that came with the game asking me what I thought of it, so I wrote the company telling them what I honestly thought..wav|ゲームの感想を送ってくれってアドレスが書いてあったから正直に感想をメールした
dataset/Lda047_Spring break starts today..wav|今日から春休み
dataset/Lda045_I’m sorry..wav|ごめんなさい
dataset/Lda047_I wonder if Dad will give me a weird look like the guy in the library..wav|でもお父さんもあのお兄さんみたいに変な目で見るのかな?
dataset/Lda047_I understand English better now, and I understand things better in general, but there are still many things I don’t understand..wav|英語がちょっとできるようになって、だいぶわかりやすくなったけど、 まだまだわからないことはいっぱい。
dataset/Lda048_I couldn’t find the address the file came from..wav|送り主はわからないようになってたけど
dataset/Lda046_What does everyone think about me? Does anyone think anything about me?.wav|みんな、私のことどう思ってるの? 誰も何も思ってない?
dataset/Lda048_I ought to study the net now while I still have time..wav|今のうちにいっぱい勉強しよう
dataset/Lda048_I can’t leave here, though..wav|でも私はここから離れられない
dataset/Lda047_When I was at the library reading a book about UNIX, a guy next to me who looked about the age of a college student gave me a really weird look..wav|図書館に入り浸ってユニックスの本を読んでいたら、 隣にいた大学生ぐらいのお兄さんに変な目で見られた。
dataset/Lda048_I wonder if it’s from the person that started that tasteless online game..wav|あの悪趣味なゲームの作者なのかな
dataset/Lda048_I’m getting scared to open my mail now..wav|なんだか迷路を開くのが怖い
dataset/Lda048_When I decoded a file that came today by e-mail, I saw the image of a dead infant..wav|今日メールと一緒に送られてきたファイルをデコードしたら赤ん坊の死体だった
dataset/Lda048_When I start junior high, and I’ll have friends and I’ll be busy, and I might not have time to come to the net..wav|中学に行ったら色々忙しくなるし 友達と遊んだりでネットに来なくなるかもしれないから
dataset/Lda049_Dad looked worried, and he hugged me..wav|お父さんは心配そうな顔をして私のことを抱きしめてくれた。
dataset/Lda049_He said he’d be away for 2 months..wav|2ヶ月ぐらいって言ってたけど
dataset/Lda049_I started to cry all of a sudden, and I lost my appetite..wav|突然涙が出てきちゃって ご飯が食べられなくなった
dataset/Lda049_I was sad during dinner today..wav|今日の夕食は寂しかった
dataset/Lda050_Dad’s work seems to be really difficult..wav|お父さんの仕事って大変そう
dataset/Lda049_It was so sudden I was surprised and speechless..wav|いきなり言われたからびっくりしちゃって何も言えなかった
dataset/Lda049_We’ll go to see him off at the airport tomorrow..wav|明日お母さんと一緒に空港までお見送り
dataset/Lda050_I want to be like Dad and live with self-confidence..wav|お父さんみたいに自信を持って生きていける人になりたい
dataset/Lda050_I want to work when I grow up..wav|私も大人になったら仕事ができる人になりたい
dataset/Lda049_Dad said that he has to go overseas because of work..wav|お父さんが長期の出張で外国に出かけるんだって
dataset/Lda047_There’s nothing painful about it, and it’s more fun than grammar or math..wav|全然苦にならないし、むしろ今は国語とか算数よりも面白い。
dataset/Lda051_Mom seemed really sad..wav|お母さんも寂しそうだった
dataset/Lda051_On the way home, Mom took me to a restaurant..wav|帰りにお母さんがレストランに連れて行ってくれた。
dataset/Lda051_It was a nice dinner, but it was sad knowing that it will just be me and Mom at the dinner table for a long time..wav|賑やかで美味しかったけど、明日からはお母さんと二人だけの夕ご飯なんだって思ったら
dataset/Lda051_God, please let Dad come home safely..wav|神様、お父さんが無事に帰ってきますように。
dataset/Lda047_Studying computers is tough because there are many technical terms and difficult kanji, but I enjoy this..wav|難しい漢字や専門用語が多くて大変だけど、私はこういうのが好きなのかもしれない。
dataset/Lda051_We waved good-bye to each other for a long time as he took the escalator to the gate..wav|エスカレーターで何度も振り返って手を振ってくれた。
dataset/Lda051_We’ll saw Dad off today..wav|今日はお父さんのお見送り
dataset/Lda051_I’m sure Mom feels sad, too..wav|ちょっと寂しい。きっとお母さんも寂しくなるのが嫌だったのかな。
dataset/Lda048_At least not until I enter junior high and start an ordinary life..wav|少なくとも中学に行って普通の生活になるまでは
dataset/Lda053_"Strange" is what I am?.wav|おかしいのが私?
dataset/Lda053_I can retaliate a little..wav|ちょっとぐらい悪いことしてもいいよね
dataset/Lda053_After all, there’s something wrong with me..wav|だって、私はおかしいんだもの
dataset/Lda053_What can I do if people say that there is something wrong with my character?.wav|私は正確に問題があるって言われても仕方がない
dataset/Lda053_Whoever sent that e-mail is at fault, anyway..wav|悪いのは向こうなんだから
dataset/Lda054_By following instructions I learned yesterday, I was able to access the host site..wav|昨日座った通りにホストに入った
dataset/Lda052_Mom, do you feel uneasy with me? I know I’m odd. It’s okay. I won’t bother you..wav|お母さんレイントじゃ不安 私おかしいし でも大丈夫よ お母さんに迷惑はかけないから
dataset/Lda053_When I talked about the email to my net buddies, a person named Rabbit taught me how I can trace it. I might be able to do it if the host's logs aren't gone yet..wav|ネットの仲間にあのメールのことを話したら、 ウサギさんって人がトレースの仕方を教えてくれた。
dataset/Lda053_I’m not such a good person anyway..wav|私はどうせ悪い子なんだし
dataset/Lda054_I can’t forgive someone who does something like that..wav|ああいうことをする人は絶対許さない
dataset/Lda054_It was easy..wav|意外と簡単だった
dataset/Lda054_I found some ‘footprints’ when I did some downloading..wav|ログをダウンロードして調べたら足跡が残っていた。
dataset/Lda054_I’m not going to cry myself to sleep anymore..wav|私はもう泣き寝入りなんかしない
dataset/Lda054_I’m going to mail him to set a trap for him..wav|もう一度あの人にメールをして、罠を仕掛けることにした。
dataset/Lda054_I’m figuring out how to trace down that sick person..wav|いくつかサイトを経由して、どこかのBBSから送ってきたらしい。
dataset/Lda054_Maybe I’m a genius at this kind of thing..wav|私ってこういうことの天才なのかも
dataset/Lda056_I decoded it, set a trap, and encoded it..wav|リコードして完成させてからエンコードした
dataset/Lda055_I’ll solve it with my own strength. My own strength. I should be able to do that now..wav|自分の力で解決する。 自分の力で。 今の私はそれができるはず。
dataset/Lda056_That was it after all!.wav|やっぱりそうだった
dataset/Lda056_This way, that person will never do this again..wav|これであの人は二度とこんなことをしなくなる
dataset/Lda056_Within 2 hours of mailing that guy, I got a response..wav|メール送ってから2時間もしないうちにバイナリメールが来た。
dataset/Lda056_I was curious what it was, but I was sure it would be gross, so I didn’t..wav|ちょっと見てもいいかなって思ったけど 絶対変な写真だから
dataset/Lda057_I took the information on his host site and spread it publicly on a "mirror-site." I didn’t look at any of the pictures because they’d all be gross..wav|彼のホストの情報をミラーサイトに公開した 画像関係の拡張紙はどうせ変な写真だから見なかったけど
dataset/Lda057_I’m starting to worry if I trapped the right person..wav|でも本当に彼が犯人だったのか不安になってきた
dataset/Lda057_The text of his site was gross, too..wav|テキストも気持ち悪かった
dataset/Lda057_Is there something wrong with me?.wav|私って変? こんなに気持ちがいいことなんて…
dataset/Lda058_And if it’s him, he would certainly have that information..wav|絶対に撮っている
dataset/Lda053_I’m strange, aren’t I, Mr. Rabbit?.wav|ねぇ、おかしいよね、うさぎさん
